Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
B,B32,B32  1,,Shoe,COLD,6,0,-211,0,211,0.017,0,0.007,0.019,down,211,0,0,#NAME?,0,0.007,0,#NAME?,0,0.017,0,10000000000,0.3,0,197.67,21.24,-343.15
B,B32,B32  1,,Shoe,OPERATING,6,36,-187,27,192,0.018,0,0.008,0.019,down,187,0,0,#NAME?,27,0.008,0,#NAME?,36,0.018,0,10000000000,0.3,0,197.67,21.24,-343.15
B,B33,B33  1,,Guide,COLD,6,0,-232,0,232,0.012,0,0.007,0.014,down,232,0,0,rght,0,0.012,0.06,back,0,0.007,0,10000000000,0.3,0,197.67,21.24,-353.15
B,B33,B33  1,,Guide,OPERATING,6,-9,-302,90,315,0.01,0,0.026,0.028,down,302,0,0,left,9,-0.01,0.06,back,90,0.026,0,10000000000,0.3,0,197.67,21.24,-353.15
B,B220,B220 1,,Guide,COLD,6,0,-352,0,352,0.019,0,0.019,0.027,down,352,0,0,left,0,0.019,0.06,forw,0,0.019,0,10000000000,0.3,0,197.67,13.14,-356.88
B,B220,B220 1,,Guide,OPERATING,6,81,-294,38,307,0.059,0,0.037,0.07,down,294,0,0,left,81,0.059,0.06,forw,38,0.037,0,10000000000,0.3,0,197.67,13.14,-356.88
B,B37,B37  1,,Shoe,COLD,6,0,-228,0,228,0.022,0,0.017,0.028,down,228,0,0,#NAME?,0,0.017,0,#NAME?,0,0.022,0,10000000000,0.3,0,201.11,13.14,-350.43
B,B37,B37  1,,Shoe,OPERATING,6,75,-252,-8,263,0.26,0,-0.008,0.26,down,252,0,0,#NAME?,8,0.008,0,#NAME?,75,0.26,0,10000000000,0.3,0,201.11,13.14,-350.43
B,B38,B38  1,,Guide,COLD,6,0,-293,0,293,0.022,0,0.014,0.026,down,293,0,0,rght,0,0.014,0.06,forw,0,0.022,0,10000000000,0.3,0,209.11,13.14,-350.43
B,B38,B38  1,,Guide,OPERATING,6,82,-277,-15,289,0.245,0,-0.027,0.247,down,277,0,0,left,15,0.027,0.06,forw,82,0.245,0,10000000000,0.3,0,209.11,13.14,-350.43
B,B39,B39  1,,Shoe,COLD,6,0,-334,0,334,0.022,0,0.007,0.024,down,334,0,0,#NAME?,0,0.007,0,#NAME?,0,0.022,0,10000000000,0.3,0,223.63,13.14,-350.43
B,B39,B39  1,,Shoe,OPERATING,6,101,-337,-8,352,0.219,0,-0.008,0.219,down,337,0,0,#NAME?,8,0.008,0,#NAME?,101,0.219,0,10000000000,0.3,0,223.63,13.14,-350.43
B,B40,B40  1,,Guide,COLD,6,0,-164,0,164,0.022,0,0.004,0.023,down,164,0,0,rght,0,0.004,0.06,forw,0,0.022,0,10000000000,0.3,0,231.98,13.14,-350.43
B,B40,B40  1,,Guide,OPERATING,6,49,-163,-1,170,0.204,0,0,0.204,down,163,0,0,left,1,0,0.06,forw,49,0.204,0,10000000000,0.3,0,231.98,13.14,-350.43
B,B41,B41  1,,Shoe,COLD,6,0,-215,0,215,0.022,0,0.001,0.022,down,215,0,0,#NAME?,0,0.001,0,#NAME?,0,0.022,0,10000000000,0.3,0,239.98,13.14,-350.43
B,B41,B41  1,,Shoe,OPERATING,6,65,-215,0,224,0.19,0,0.002,0.19,down,215,0,0,#NAME?,0,0.002,0,#NAME?,65,0.19,0,10000000000,0.3,0,239.98,13.14,-350.43
B,B42,B42  1,,Guide,COLD,6,0,-210,0,210,0.022,0,-0.002,0.022,down,210,0,0,left,0,0.002,0.06,forw,0,0.022,0,10000000000,0.3,0,247.98,13.14,-350.43
B,B42,B42  1,,Guide,OPERATING,6,63,-210,1,219,0.176,0,0,0.176,down,210,0,0,rght,1,0,0.06,forw,63,0.176,0,10000000000,0.3,0,247.98,13.14,-350.43
B,B43,B43  1,,Shoe,COLD,6,0,-177,0,177,0.022,0,-0.005,0.023,down,177,0,0,#NAME?,0,0.005,0,#NAME?,0,0.022,0,10000000000,0.3,0,255.98,13.14,-350.43
B,B43,B43  1,,Shoe,OPERATING,6,53,-177,0,185,0.162,0,-0.004,0.162,down,177,0,0,#NAME?,0,-0.004,0,#NAME?,53,0.162,0,10000000000,0.3,0,255.98,13.14,-350.43
B,B44,B44  1,,Guide,COLD,6,0,-287,0,287,0.022,0,-0.007,0.023,down,287,0,0,left,0,0.007,0.06,forw,0,0.022,0,10000000000,0.3,0,263.98,13.14,-350.43
B,B44,B44  1,,Guide,OPERATING,6,87,-287,0,300,0.148,0,-0.007,0.148,down,287,0,0,rght,0,-0.007,0.06,forw,87,0.148,0,10000000000,0.3,0,263.98,13.14,-350.43
B,B45,B45  1,,Shoe,COLD,6,0,-266,0,266,0.022,0,-0.011,0.025,down,266,0,0,#NAME?,0,0.011,0,#NAME?,0,0.022,0,10000000000,0.3,0,276.48,13.14,-350.43
